evaluation,policy,density,experiment_id,recommended_count,precision_at_100,recall_at_100,hit_rate_at_100,ndcg_at_100,complete_rate_at_100,strong_rate_at_100,short_rate_at_100,watch_ratio_at_100,utility_at_100,average_log_popularity_at_100,coverage_at_100,catalog_size,evaluated_users,evaluated_pairs,matrix_density,invalid_recommendations,unobserved_recommendation_pairs,cold_recall_at_100,cold_evaluated_users,cold_evaluated_groups,evaluated_groups,observed_pairs,observed_users,observed_positive_pairs,observed_positive_rate
sparse_replay,uniform,0.05,R3.3,,,0.0741327533453126,0.9776847977684798,0.060854289773083374,,,,,,0.0,0.05710850616170724,,717,,,,,,,,717.0,118823.0,717.0,39142.0,0.3294143389747776
sparse_replay,uniform,0.05,R3.4,,,0.07318927154378886,0.9693165969316597,0.058615330901878024,,,,,,0.0,0.12714156898106402,,717,,,,,,,,717.0,118823.0,717.0,39142.0,0.3294143389747776
sparse_replay,uniform,0.05,R3.5,,,0.07243619569151298,0.9762900976290098,0.059291902498300623,,,,,,0.0,0.05320108205590622,,717,,,,,,,,717.0,118823.0,717.0,39142.0,0.3294143389747776
sparse_replay,uniform,0.05,R3.6,,,0.07199902219171159,0.9735006973500697,0.05935507224146613,,,,,,0.0,0.16801923654944395,,717,,,,,,,,717.0,118823.0,717.0,39142.0,0.3294143389747776
sparse_replay,uniform,0.1,R0.2,,,0.04487467563478691,0.9832635983263598,0.04858914284547236,,,,,,0.0,0.03005710850616171,,717,,,,,,,,717.0,237646.0,717.0,78121.0,0.3287284448297047
sparse_replay,uniform,0.1,R1.0,,,0.03669251535366794,0.9553695955369595,0.04237359223381321,,,,,,0.0,0.731590021039976,,717,,,,,,,,717.0,237646.0,717.0,78121.0,0.3287284448297047
sparse_replay,uniform,0.1,R2.4,,,0.03230177466130768,0.9553695955369595,0.03741649036535913,,,,,,0.0,0.3642921550946799,,717,,,,,,,,717.0,237646.0,717.0,78121.0,0.3287284448297047
sparse_replay,uniform,0.1,R3.3,,,0.07172574751477627,1.0,0.07968627780583416,,,,,,0.0,0.05710850616170724,,717,,,,,,,,717.0,237646.0,717.0,78121.0,0.3287284448297047
sparse_replay,uniform,0.1,R3.4,,,0.07006942778503787,0.99721059972106,0.07697842270551693,,,,,,0.0,0.12714156898106402,,717,,,,,,,,717.0,237646.0,717.0,78121.0,0.3287284448297047
sparse_replay,uniform,0.1,R3.5,,,0.07137236391993414,0.99860529986053,0.07950469827516767,,,,,,0.0,0.05320108205590622,,717,,,,,,,,717.0,237646.0,717.0,78121.0,0.3287284448297047
sparse_replay,uniform,0.1,R3.6,,,0.07137728486504266,0.99721059972106,0.08023454218638915,,,,,,0.0,0.16801923654944395,,717,,,,,,,,717.0,237646.0,717.0,78121.0,0.3287284448297047
sparse_replay,uniform,0.2,R0.2,,,0.04698380730705477,1.0,0.09440717895039386,,,,,,0.0,0.03005710850616171,,717,,,,,,,,717.0,475292.0,717.0,155888.0,0.32798363953106724
sparse_replay,uniform,0.2,R1.0,,,0.037479367035130474,1.0,0.07855297777015373,,,,,,0.0,0.731590021039976,,717,,,,,,,,717.0,475292.0,717.0,155888.0,0.32798363953106724
sparse_replay,uniform,0.2,R2.4,,,0.03292605263810196,0.99581589958159,0.07084220608796021,,,,,,0.0,0.3642921550946799,,717,,,,,,,,717.0,475292.0,717.0,155888.0,0.32798363953106724
sparse_replay,uniform,0.2,R3.3,,,0.07256771964016667,1.0,0.14795656838033094,,,,,,0.0,0.05710850616170724,,717,,,,,,,,717.0,475292.0,717.0,155888.0,0.32798363953106724
sparse_replay,uniform,0.2,R3.4,,,0.06957664284613121,1.0,0.14329498557562312,,,,,,0.0,0.12714156898106402,,717,,,,,,,,717.0,475292.0,717.0,155888.0,0.32798363953106724
sparse_replay,uniform,0.2,R3.5,,,0.07115475626808294,1.0,0.14584557071413545,,,,,,0.0,0.05320108205590622,,717,,,,,,,,717.0,475292.0,717.0,155888.0,0.32798363953106724
sparse_replay,uniform,0.2,R3.6,,,0.07074161834776707,1.0,0.14628175395063706,,,,,,0.0,0.16801923654944395,,717,,,,,,,,717.0,475292.0,717.0,155888.0,0.32798363953106724
sparse_replay,popularity_biased,0.1,R0.2,,,0.060662146483550845,0.99721059972106,0.06624078393022412,,,,,,0.0,0.03005710850616171,,717,,,,,,,,717.0,237646.0,717.0,77429.0,0.3258165506678
sparse_replay,popularity_biased,0.1,R1.0,,,0.04374834787223217,0.9748953974895398,0.0490142456862507,,,,,,0.0,0.731590021039976,,717,,,,,,,,717.0,237646.0,717.0,77429.0,0.3258165506678
sparse_replay,popularity_biased,0.1,R2.4,,,0.03150401618839801,0.9483960948396095,0.034777639232708886,,,,,,0.0,0.3642921550946799,,717,,,,,,,,717.0,237646.0,717.0,77429.0,0.3258165506678
sparse_replay,popularity_biased,0.1,R3.3,,,0.03793394769630274,0.9637377963737797,0.03315198590234264,,,,,,0.0,0.05710850616170724,,717,,,,,,,,717.0,237646.0,717.0,77429.0,0.3258165506678
sparse_replay,popularity_biased,0.1,R3.4,,,0.03353688083604662,0.9623430962343096,0.02929694294623565,,,,,,0.0,0.12714156898106402,,717,,,,,,,,717.0,237646.0,717.0,77429.0,0.3258165506678
sparse_replay,popularity_biased,0.1,R3.5,,,0.04975271586456933,0.9916317991631799,0.04540807729688285,,,,,,0.0,0.05320108205590622,,717,,,,,,,,717.0,237646.0,717.0,77429.0,0.3258165506678
sparse_replay,popularity_biased,0.1,R3.6,,,0.03843457246566727,0.9721059972105998,0.03471373572158536,,,,,,0.0,0.16801923654944395,,717,,,,,,,,717.0,237646.0,717.0,77429.0,0.3258165506678
sparse_replay,positive_biased,0.1,R0.2,,,0.04493591255350374,0.99860529986053,0.09510274363655577,,,,,,0.0,0.03005710850616171,,717,,,,,,,,717.0,237646.0,717.0,164129.0,0.6906449088139501
sparse_replay,positive_biased,0.1,R1.0,,,0.036372802703834035,0.99860529986053,0.08124674441102535,,,,,,0.0,0.731590021039976,,717,,,,,,,,717.0,237646.0,717.0,164129.0,0.6906449088139501
sparse_replay,positive_biased,0.1,R2.4,,,0.03152652289672254,0.9944211994421199,0.07241825410920164,,,,,,0.0,0.3642921550946799,,717,,,,,,,,717.0,237646.0,717.0,164129.0,0.6906449088139501
sparse_replay,positive_biased,0.1,R3.3,,,0.07219434334197125,1.0,0.15520062142918992,,,,,,0.0,0.05710850616170724,,717,,,,,,,,717.0,237646.0,717.0,164129.0,0.6906449088139501
sparse_replay,positive_biased,0.1,R3.4,,,0.07026731242452126,1.0,0.15104093087358575,,,,,,0.0,0.12714156898106402,,717,,,,,,,,717.0,237646.0,717.0,164129.0,0.6906449088139501
sparse_replay,positive_biased,0.1,R3.5,,,0.07229268578795987,1.0,0.15661425470506643,,,,,,0.0,0.05320108205590622,,717,,,,,,,,717.0,237646.0,717.0,164129.0,0.6906449088139501
sparse_replay,positive_biased,0.1,R3.6,,,0.07126352806484283,1.0,0.15528514573330646,,,,,,0.0,0.16801923654944395,,717,,,,,,,,717.0,237646.0,717.0,164129.0,0.6906449088139501
